Original,Refactoring,Improvement,Original Score,Refactoring Score
(A<->((B|C)&!D)),(A<->((B|C)&!D)),1,26.64,26.64
((A&!B)->(!C->!D)),(!A|B|C|!D),0.589754269054561,24.01,14.16
((!A&!B&C&!D)->E),(A|B|!C|D|E),0.636439615545341,23.93,15.23
!(A&(B|C|D)),(!A|(!B&!C&!D)),0.774834437086093,25.67,19.89
((!A&!B&!C)->(!D&!E)),((D|E)->(A|B|C)),0.793939393939394,24.75,19.65
((!A&B&C&D)->!E),(A|!B|!C|!D|!E),0.699829931972789,23.52,16.46
(((A|!B)&!C)->!D),((!A&B)|C|!D),0.729984301412873,25.48,18.6
(!A&!B&!C&!D&!E&!F),!(A|B|C|D|E|F),0.968735196589294,21.11,20.45
((!A&B&!C&(C|D))->E),(A|!B|C|(!C&!D)|E),0.758370728339662,28.97,21.97
(((A|B|C|!D)&!E)->!F),(!(A|B|C|!D)|E|!F),0.806258790436006,28.44,22.93
((!A&B)->(!C&!D)),(A|!B|(!C&!D)),0.864877161055505,21.98,19.01
((A&!B&C)->(!D&!E)),(!A|B|!C|(!D&!E)),0.873380693689929,23.93,20.9
((A&!B)->(C&!D&!E)),(!A|B|(C&!D&!E)),0.875888006686168,23.93,20.96
((!A&B&C)->!D),(A|!B|!C|!D),0.675475197032916,21.57,14.57
(!A&!B&!C&D&E),!(A|B|C|!D|!E),0.986614612381484,17.93,17.69
(A->(!B&!C&!D&!E)),((B|C|D|E)->!A),0.891536565324569,24.34,21.7
((!A&B&!C)->D),(A|!B|C|D),0.637459434399629,21.57,13.75
(A<->(!B&!C&!D)),(A<->(!B&!C&!D)),1,23.96,23.96
((A&B)->(!C&!D)),(!A|!B|(!C&!D)),0.900324524802967,21.57,19.42
(((A|B|!C)&!D)->!E),((!A&!B&C)|D|!E),0.777448071216617,26.96,20.96
((A&!B)->!(C|D)),(!A|B|(!C&!D)),0.758882235528942,25.05,19.01
((!A&!B&!C&D&!E)->F),(A|B|C|!D|E|F),0.635602890833016,26.29,16.71
(((A|B)->C)&((D|E)->F)),(((!A&!B)|C)&((!D&!E)|F)),0.948843728100911,28.54,27.08
(A<->(B&!C&!D&!E)),(A<->!(!B|C|D|E)),0.993052875337708,25.91,25.73
((A&!B&C)->(!D&!E&!F)),(!A|B|!C|(!D&!E&!F)),0.884747052111069,26.29,23.26
((!A&!B&(!C|D))->!E),(A|B|(C&!D)|!E),0.721264367816092,27.84,20.08
((!A&!B&!C)<->D),((!A&!B&!C)<->D),1,23.96,23.96
