Original,Refactoring,Time,Improvement,Original Score,Refactoring Score
((A&!B)->(C|!D)),(!A|B|C|!D),0.131,0.6644767714687941,21.31,14.160000000000002
!((A|B)->!(!C|D)),((A|B)&(!C|D)),0.12,0.7479440789473685,24.32,18.19
!((A|B)->!(!C|D)),((A|B)&(!C|D)),0.068,0.7479440789473685,24.32,18.19
((A&!(B|C))->D),(!A|B|C|D),0.031,0.4841549295774647,28.400000000000002,13.749999999999998
((A&!B)->(!C&!D)),(!A|B|(!C&!D)),0.03,0.8648771610555049,21.98,19.009999999999998
!(!(A&!B)->!(C|D)),((!A|B)&(C|D)),0.043,0.7158598976780796,25.41,18.19
!(!(A&!B)->!(C|D)),((!A|B)&(C|D)),0.047,0.7158598976780796,25.41,18.19
((A|B)->(C&!D&!E)),(!(A|B)|!(!C|D|E)),0.045,0.9221840068787619,23.26,21.450000000000003
!(!(A|!B)->(!C|D|!E)),(!A&B&C&!D&E),0.021,0.658151765589782,26.620000000000005,17.52
!(!(A|!B)->(!C|D|!E)),(!A&B&C&!D&E),0.018,0.658151765589782,26.620000000000005,17.52
((A->!B)&(A->!C)&(A->!D)&(A->!E)),((B|C|D|E)->!A),0.037,0.5757495356858584,37.69,21.700000000000003
(!(!A->!B)|!(A->!C)|(!A->!D)|(A->E)),(A|!A|(!A&B)|(A&C)|!D|E),0.066,0.6487867177522348,39.150000000000006,25.4
(!(!A->!B)|!(A->!C)|(!A->!D)|(A->E)),(A|!A|(!A&B)|(A&C)|!D|E),0.052,0.6487867177522348,39.150000000000006,25.4
(A->(B->((C&D)->E))),(!A|!B|!C|!D|E),0.037,0.5042892156862745,32.64,16.46
(A<->((B&C&!D)|(D&!E))),(A<->((B&C&!D)|(D&!E))),0.186,1.0,30.950000000000003,30.950000000000003
!(!A<->(!(!B&C&!D)&(D|!E))),!(!A<->!(!(B|!C|D)|!(D|!E))),0.096,0.9164352436253471,39.61,36.3
(A<->((B&C&D&!E)|(E&!F))),(A<->((B&C&D&!E)|(E&!F))),0.16,1.0,32.9,32.9
!(A<->!(!(B|C|!D|E)&!(!E|F))),!(A<->(B|C|!D|E|!E|F)),0.04,0.8630749014454663,38.05,32.83999999999999
(A->(B->(C->!(D|E)))),(!A|!B|!C|(!D&!E)),0.02,0.5613804004214964,37.96,21.310000000000002
!(!A->!(!B->!(!C->!(D&!E)))),(!A&(B|(!C&D&!E))),0.047,0.5709428830462375,44.120000000000005,25.19
!(!A->!(!B->!(!C->!(D&!E)))),(!A&(B|(!C&D&!E))),0.039,0.5709428830462375,44.120000000000005,25.19
(A->((B&C)<->!D)),(!A|((B&C)<->!D)),0.057,0.928277282086479,29.139999999999997,27.049999999999994
!(!A->!(!(B|C)<->!D)),(!A&((!B&!C)<->!D)),0.053,0.7535494240557191,37.33,28.129999999999995
!(!A->!(!(B|C)<->!D)),(!A&((!B&!C)<->!D)),0.082,0.7535494240557191,37.33,28.129999999999995
(A->((B&C)->D)),(!A|!B|!C|D),0.017,0.5851405622489959,24.900000000000002,14.569999999999999
((A&B)|(B&C)|(B&D)|(B&E)),((A|C|D|E)&B),0.056,0.7507456327226246,23.470000000000002,17.62
!(!(A&B)|!(B&C)|(!B|D)|!(B&!E)),(A&B&C&!D&!E),0.017,0.5766951942067148,30.380000000000006,17.52
(!(A&B)&!(B&C)&(!B|D)&!(B&!E)),((!A&!C&D&E)|!B),0.038,0.7205783456624074,29.740000000000006,21.43
(!(A&B)&!(B&C)&(!B|D)&!(B&!E)),((!A&!C&D&E)|!B),0.036,0.7205783456624074,29.740000000000006,21.43
((A&!B&!C)->(!D|!E)),(!A|B|C|!D|!E),0.02,0.6665282392026579,24.08,16.05
!(!(!A&!B&C)->(D&!E)),((A|B|!C)&(!D|E)),0.036,0.7163753121655368,28.030000000000005,20.080000000000002
!(!(!A&!B&C)->(D&!E)),((A|B|!C)&(!D|E)),0.036,0.7163753121655368,28.030000000000005,20.080000000000002
(!A&!B&C&D),(!A&!B&C&D),0.002,1.0,15.570000000000002,15.570000000000002
(!A|!B|!C|D),(!A|!B|!C|D),0.0,1.0,14.569999999999999,14.569999999999999
(!A|!B|!C|D),(!A|!B|!C|D),0.001,1.0,14.569999999999999,14.569999999999999
((A&(B|C))->D),(!A|(!B&!C)|D),0.017,0.8407784166298096,22.610000000000003,19.009999999999998
(A->((B|C|D)&E)),(!A|((B|C|D)&E)),0.024,0.9726027397260274,24.09,23.43
((!A&!B&C)->D),(A|B|!C|D),0.01,0.637459434399629,21.57,13.749999999999998
!(!(!A&!B&!C)->D),((A|B|C)&!D),0.002,0.6974693251533742,26.080000000000002,18.19
((A&!B&C)->!D),(!A|B|!C|!D),0.014,0.675475197032916,21.57,14.569999999999999
((A&!B)->(!C&D)),(!A|B|(!C&D)),0.021,0.86230876216968,21.57,18.599999999999998
!(!(!A|B)->!(C|D)),(A&!B&(C|D)),0.018,0.7545491306105947,24.729999999999997,18.660000000000004
(A->(B->(C->D))),(!A|!B|!C|D),0.016,0.5452844311377244,26.720000000000002,14.569999999999999
(A<->!(B|C|D|E)),(A<->(!B&!C&!D&!E)),0.06,0.9598832968636033,27.419999999999998,26.32
